opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,cache,capacity,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,interface,lighting,metadata_last_manually_spec_verified_at,metadata_part_numbers,nvme,storage_type,type
30626682-de5e-4db0-9fac-337705a512b8,"Intel D3-S4520 960GB SSD 2.5"" SATA",Intel,D3-S4520,960GB,,30626682-de5e-4db0-9fac-337705a512b8.json,,960,"2.5""",B09DVQDFWC,,,,1Z4-009F-004T4,931629920,SATA 6.0 Gb/s,,,SSDSC2KB960GZ01,False,SSD,SSD
30643fa7-c78b-4e3f-8ba9-806ff2fd7cae,"Seagate Enterprise Performance 1.8TB HDD 10000RPM 3.5"" SAS 12.0 Gb/s",Seagate,Enterprise,1000GB,,30643fa7-c78b-4e3f-8ba9-806ff2fd7cae.json,,1000,"3.5""",,,,,,,SAS 12.0 Gb/s,,,ST1800MM0129,False,HDD,HDD
307acd79-1635-4b44-8af5-ce34fd3c251d,"Intel DC P4510 2TB SSD 2.5"" U.2",Intel,DC,2000GB,,307acd79-1635-4b44-8af5-ce34fd3c251d.json,,2000,"2.5""",B076SYT49C,,,,,849329162,U.2,,,SSDPE2KX020T801 | INT-SSDPE2KX020T801,False,SSD,SSD
308c11cd-634b-4cf4-ac45-2daa12ae4b9c,"Samsung 870 QVO 1TB SSD 2.5"" SATA 6.0 Gb/s",Samsung,870,1000GB,,308c11cd-634b-4cf4-ac45-2daa12ae4b9c.json,,1000,"2.5""",B089C73T72,6422326,,,N82E16820147781,445327716,SATA 6.0 Gb/s,,,MZ-77Q1T0B | AM | MZ-77Q1T0B/AM,False,SSD,SSD
309884e1-b12f-4233-b0a9-8b0f01a0b2f6,"Western Digital Caviar Black 500GB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Western Digital,Caviar,500GB,,309884e1-b12f-4233-b0a9-8b0f01a0b2f6.json,,500,"3.5""",B004DMFAJ2,,,,,16349852,SATA 6.0 Gb/s,,,WD5002AALX,False,HDD,HDD
3098d24b-17d4-4193-ac8e-985d1121a7dc,"Hitachi 7K1000.C 1TB 3.5"" HDD 7200RPM SATA",Hitachi,7K1000.C,1000GB,,3098d24b-17d4-4193-ac8e-985d1121a7dc.json,,1000,"3.5""",B0035WQBOY,,,,,,SATA 3.0 Gb/s,,,0F10383,False,HDD,HDD
30a3469a-e55e-43f0-8d4b-29f1338b4359,"Seagate Exos 7E10 6TB 3.5"" HDD SATA 7200RPM 512e/4Kn",Seagate,Exos,6000GB,,30a3469a-e55e-43f0-8d4b-29f1338b4359.json,,6000,"3.5""",,,,,1Z4-002P-024E8,,SATA 6.0 Gb/s,,,ST6000NM019B,False,HDD,HDD
30a89d6f-cc50-4550-a668-770459d85546,"SanDisk Extreme II 120GB SSD 2.5"" SATA",SanDisk,Extreme,120GB,,30a89d6f-cc50-4550-a668-770459d85546.json,,120,"2.5""",,,,,,,SATA 6.0 Gb/s,,,SDSSDXP-120G-G25,False,SSD,SSD
30b793b5-346d-417a-a5de-75a2a6467c17,"Seagate Constellation ES 2TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Seagate,Constellation,2000GB,,30b793b5-346d-417a-a5de-75a2a6467c17.json,,2000,"3.5""",,,,,,,SATA 6.0 Gb/s,,,ST2000NM0011,False,HDD,HDD
30e083a4-060f-4059-b5ef-f4836724cde7,"Western Digital Black 6TB HDD 3.5"" SATA 7200RPM",Western Digital,Black,6000GB,,30e083a4-060f-4059-b5ef-f4836724cde7.json,,6000,"3.5""",B011LVAVEQ,,,,,46567044,SATA 6.0 Gb/s,,,WD6001FZWX,False,HDD,HDD
30e1dc18-1b4e-4cae-9a5a-1962242acb93,"Toshiba MK6465GSX 640GB 2.5"" HDD 5400RPM SATA Internal",Toshiba,MK6465GSX,640GB,,30e1dc18-1b4e-4cae-9a5a-1962242acb93.json,,640,"2.5""",,,,,,,SATA 3.0 Gb/s,,,MK6465GSX,False,HDD,HDD
