opendb_id,name,manufacturer,cpu_sockets,height_mm,fan_quantity,fan_size_mm,radiator_size_mm,water_cooled,fanless
30f5e71c-4087-43c8-9c6f-f1b9537cb996,darkFlash DV360S MAX White,darkFlash,AM4|AM5|LGA1851|LGA1700|LGA1200|LGA1151|LGA1150|LGA1156|LGA1155,61.85,3,120.0,360.0,true,false
c0d91a86-d4af-45c5-91e6-0bd93ea9168a,darkFlash DE360 White,darkFlash,AM5|AM4|AM3|LGA1851|LGA1700|LGA1151|LGA1150|LGA1200,80.6,3,120.0,360.0,true,false
f7f0e95c-6411-4e89-a13b-1c24ab8e9dae,darkFlash DV360S MAX,darkFlash,AM5|AM4|LGA1200|LGA1151|LGA1700|LGA1851|LGA1150|LGA1155|LGA1156,61.85,3,120.0,360.0,true,false
81df22ba-beea-43c5-b518-1f605bb67d6d,darkFlash DE360 Black,darkFlash,AM5|AM4|LGA1851|LGA1700|LGA1200|LGA1151|LGA1150|LGA1156|LGA1155,80.6,3,120.0,360.0,true,false
807fab83-61a7-488d-a259-ddcda46037eb,be quiet! Silent Loop 3 360mm CPU AIO Liquid Cooler Black,be quiet!,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|TR4|TRX4,94.0,3,120.0,360.0,true,false
1397bbab-fcb5-4bb2-9261-d60e56929fd2,be quiet! Silent Loop 3 Water 240mm Black,be quiet!,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,94.0,2,240.0,240.0,true,false
768c9d0f-435c-4b2f-a979-e9ff9981b5ac,be quiet! Silent Loop 3 Water 420mm Black,be quiet!,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|TR4|TRX4,94.0,3,140.0,420.0,true,false
b8feee87-2c19-4ebd-a9a1-d2b97c43c3a2,be quiet! Pure Rock 3 Black,be quiet!,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,154.0,1,120.0,,false,false
53474a4b-e46d-4076-8ae4-7c4c53602c2b,MSI MPG CORELIQUID P13 360 Black,MSI,AM5|AM4|LGA1851|LGA1700,78.0,3,120.0,360.0,true,
03bea814-1e7f-493f-ad25-a76a3d9c535a,MSI MPG CORELIQUID P13 360 White,MSI,AM5|AM4|LGA1700|LGA1851,78.0,3,120.0,360.0,true,
b8e9a8c4-3688-470c-939f-6357938a773f,MSI MAG Coreliquid A12 360 - AIO ARGB CPU Liquid Cooler - 360mm Radiator,MSI,AM5|AM4|LGA1700|LGA1851,69.0,3,120.0,360.0,true,
0ae29165-6d99-447d-99cd-ec209d17b137,MSI MAG Coreliquid A12 240 - AIO ARGB CPU Liquid Cooler - 240mm Radiator,MSI,AM5|AM4|LGA1851|LGA1700,69.0,2,120.0,240.0,true,
