opendb_id,name,manufacturer,socket,chipset,ram_type,memory_max_gb,memory_slots,form_factor,wireless,ecc_support,cpu_power_connectors,main_power_connector,sata_port_count,sata_ports,has_m2,m2_slot_count,m2_supported_sizes,pcie_total_slots,pcie_x16_slots,pcie_x8_slots,pcie_x4_slots,pcie_x1_slots,pcie_gen3_slots,pcie_gen4_slots,pcie_gen5_slots,pcie_max_gen
e12a79e9-131e-4dd5-af1c-dca05f628e31,ASRock X870E Taichi OCF AM5 DDR5 ATX,ASRock,AM5,AMD X870E,DDR5,128.0,2,ATX,Wi-Fi 7,True,8-pin | 8-pin | 6-pin,24-pin,2,2,1,1,2230|2280,3,2,0,1,0,0,1,2,5.0
992289fb-9bb9-4c7d-b379-861ae563613f,SAPPHIRE NITRO+ B850M WIFI AM5 DDR5 Micro-ATX,Sapphire,AM5,AMD B850,DDR5,256.0,4,Micro ATX,Wi-Fi 6 Bluetooth 5.3,False,8-pin | 8-pin,24-pin,4,4,1,1,2242|2280,2,1,0,1,0,0,1,1,5.0
0d1590d1-2ebc-445c-aa24-5c9b7a1a2659,SAPPHIRE NITRO+ B850A WIFI 7 AM5 DDR5 ATX,Sapphire,AM5,AMD B850,DDR5,256.0,4,ATX,Wifi 7,False,8-pin | 8-pin,24-pin,4,4,1,1,2242|2280,3,1,0,1,0,0,2,1,5.0
08fe9205-6f86-4cf9-8963-0d8b4c22bc28,MSI MEG X870E GODLIKE X EDITION,MSI,AM5,AMD X870E,DDR5,256.0,4,EATX,Wi-Fi 7,False,8-pin | 8-pin,24-pin,4,4,1,1,2260|2280|22110,3,1,1,1,0,0,1,2,5.0
d950b08a-9a7d-4db9-8b6d-db87c5f97437,ASUS B650E MAX GAMING WIFI W,ASUS,AM5,AMD B650E,DDR5,256.0,4,ATX,Wifi 6E,False,8-pin | 4-pin,24-pin,4,4,1,1,2242|2260|2280|22110,4,1,0,1,2,2,1,1,5.0
cacbcfa6-3a3d-45a1-b9cf-1c05613c5454,ASUS B650E MAX GAMING WIFI AM5 DDR5 ATX,ASUS,AM5,AMD B650E,DDR5,256.0,4,ATX,Wifi 6E,True,8-pin | 4-pin,24-pin,4,4,1,1,2242|2260|2280|22110,4,1,0,1,2,2,1,1,5.0
2048f9cc-f5dc-4a1d-b9e0-04fa8b7ce0fe,ASRock B850 LiveMixer WiFi AM5 DDR5 ATX,ASRock,AM5,AMD B850,DDR5,256.0,4,ATX,Wi-Fi 7 Bluetooth 5.4,True,8-pin | 4-pin,24-pin,2,2,1,1,2230|2242|2260|2280,3,1,0,2,0,0,2,1,5.0
77e0ffd9-9f62-4e96-b821-bf60cd4d2fb9,Gigabyte B760 DS3H LGA1700 DDR5 GEN5 ATX,Gigabyte,LGA1700,Intel B760,DDR5,256.0,4,ATX,Wifi 6E Bluetooth 5.3,False,8-pin | 8-pin,24-pin,4,4,1,1,2280|22110,5,1,0,0,4,4,0,1,5.0
c70a83c9-7178-4af5-902f-27ac9d695fb4,Gigabyte B760 DS3H AC LGA1700 DDR4 ATX,Gigabyte,LGA1700,Intel B760,DDR4,128.0,4,ATX,WiFi 5  Bluetooth 5.0,True,8-pin,24-pin,4,4,1,1,2280|22110,5,1,0,0,4,4,1,0,4.0
ddfd3730-3d92-4da0-a5f2-4b02bb9f24ac,GIGABYTE EAGLE B850M WIFI6E AM5 DDR5 Micro ATX,Gigabyte,AM5,AMD B850,DDR5,256.0,4,Micro ATX,Wifi 6E,False,8-pin,24-pin,4,4,1,1,2280|2580|22110|25110,2,1,0,1,0,1,0,1,5.0
c9974d57-0526-4a5a-8d8c-4c33026e939e,Gigabyte B760 DS3H AX V2 (rev. 1.0) DDR5 ATX,Gigabyte,LGA1700,Intel B760,DDR5,256.0,4,ATX,Wifi 6 Bluetooth 5.3,True,8-pin,24-pin,4,4,1,1,2280|22110,5,1,0,0,4,4,1,0,4.0
0343e5fe-1325-47bf-8a22-9db5fcc62788,Gigabyte B760 DS3H AX DDR5 ATX,Gigabyte,LGA1700,Intel B760,DDR5,256.0,4,ATX,,True,8-pin,24-pin,4,4,1,1,2280|22110,6,2,0,0,4,4,0,2,5.0
a44dece8-bd54-4f5d-a185-a6fa74c2a79d,MSI H810 PRO H810I WIFI LGA1851 DDR5 Mini ITX,MSI,LGA1851,Intel H810,DDR5,128.0,2,Mini ITX,Wi-Fi 7 Bluetooth 5.4,False,8-pin,24-pin,2,2,1,1,2280,1,1,0,0,0,0,1,0,4.0
