storage_id,motherboard_id,storage_capacity,storage_type,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
395394ac-a37f-4237-aa71-3e8c93161910,01074bc3-89ac-4fa5-b706-5f84dd7bbb65,14000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab54cf841c9bc5aa06ab""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab54cf841c9bc5aa06ac""}]",Micro ATX,DDR4,0,0
de9072ad-fc70-47bc-8c33-446468154cce,8faaf798-db1f-417f-8dd2-65b8a27ed948,128.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac20fe073ff824ef96b5""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac20fe073ff824ef96b6""}]",Micro ATX,DDR4,0,0
32f96155-ec36-46b9-b2f5-f09590b4c77e,b86c2480-a516-433f-8807-54af85a336cb,128.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac5e744e69396d561344""}]",Mini ITX,DDR4,1,1
4293a38a-d0c6-41e8-a22b-01c26c6693de,a62d0f9d-bc24-476c-b484-c50ed4a80929,250.0,HDD,"3.5""",SATA 3.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac29c0db8dfe4bc759c4""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac29c0db8dfe4bc759c5""}]",Micro ATX,DDR4,0,0
72e9e783-ddf2-457d-b1b8-ef2578e31030,3b4d6646-7bfa-4bd7-aaa6-05f9eca7cc2f,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR5,1,1
0d980765-22e5-45b1-bc5f-e21b15dd6772,7b03ae1e-ace2-4b20-9968-bbbc1cee9db0,1000.0,SSD,M.2-2280,M.2 PCIe 5.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abf91698c6213208a157""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abf91698c6213208a158""}]",Micro ATX,DDR4,1,1
25892677-f6c2-41f1-81a2-f5867846405c,d47bfbb3-a636-45fc-9acd-e2105b85065d,160.0,HDD,"3.5""",SATA 3.0 Gb/s,false,2242|2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 4}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,0,0
7c4c5995-3a00-4f0e-8ab0-afac44c61121,dacb2fa8-d21c-4737-9fea-5c52abf417f0,16.0,SSD,"2.5""",SATA 3.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac7636a2b96d5d841585""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac7636a2b96d5d841586""}]",Micro ATX,DDR4,0,0
61782454-3d51-4775-92be-3c2742184fec,f97da62d-ecda-4391-a529-25f7f72fbc3c,256.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3aca3ce32fbd0888391bf""}]",Mini ITX,DDR5,0,0
a94ec858-4af5-4652-ad26-10fb897e7dc1,95b716e7-f002-4257-9b72-c165bd3cc258,18000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",Micro ATX,DDR5,0,0
64a7f98e-90a4-43f5-a3da-aae55aa68777,97875303-5d50-46dc-b622-25b02d02b7cb,4000.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280|22110,"[{""gen"": ""3.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3ac28fe073ff824ef9b5a""}, {""gen"": ""2.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ac28fe073ff824ef9b5b""}, {""gen"": ""2.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac28fe073ff824ef9b5c""}]",ATX,DDR4,0,0
caf683d7-dbd6-4d0e-b76f-c67d1db79560,6244c472-22bf-4122-8df7-af6942e61405,500.0,HDD,"3.5""",SATA 3.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abc43722c3e205bd0ee1""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abc43722c3e205bd0ee2""}]",Micro ATX,DDR4,0,0
e6d70f4d-496a-4836-b0ba-7f7f4b7d920a,aee80b7f-835a-402d-a3e3-984273e783ba,2000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2280|2580|22110|25110,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac38c0db8dfe4bc76426""}]",ATX,DDR5,1,1
554fe1d9-8b52-4e23-a5ef-3b125a9237d3,297df2d7-6846-46a4-b1cb-f637dccbec2a,256.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ab953722c3e205bcfc53""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab953722c3e205bcfc54""}]",ATX,DDR4,0,0
