psu_id,case_id,psu_form_factor,psu_length,psu_wattage,psu_efficiency,case_psu_clearance,case_supported_psu,psu_form_factor_match,psu_length_ok,label
39b057a4-103f-4482-9817-dbb5a1d8912f,fd263975-75c0-473d-964c-71b1df4ad722,ATX,140.0,550.0,80+ BRONZE,180.0,ATX,1,1,1
8c9d813e-7ea3-4ac2-be87-8bfd3f018846,51b2027c-caff-483f-9398-25f2b30cd0d9,ATX,165.0,650.0,80+ GOLD,,SFX | SFX-L,0,1,0
f4bdb18b-547c-4758-aa4e-fbdff3165dde,b1e0b4f0-0522-443b-94a2-309f67623bb7,Flex ATX,150.0,500.0,80+ GOLD,200.0,ATX,0,1,0
39b89db4-003e-4aa6-b2a7-dabec2c22767,11e609ff-a638-4e8b-856b-2eb116615667,ATX,180.0,1000.0,80+ GOLD,,SFX | SFX-L,0,1,0
5723071b-61f9-4189-b468-0a8f5d57e7f7,5b063ce6-a082-48eb-88b8-c99903a0f27d,TFX,,300.0,80+ BRONZE,,ATX,0,1,0
191e8e85-9e7b-4040-b448-674f249a9364,9633a11e-b237-4a7b-b500-937b20008dbe,TFX,,300.0,80+,220.0,ATX,0,1,0
85192fea-ae35-4ad2-997c-386988f5cdac,517f12f3-4679-4d13-8832-0fcd2c2a40ea,ATX,210.0,1300.0,80+ TITANIUM,,ATX,1,1,1
810274f2-19d6-46cc-bd44-8c36a611fd5e,38e47072-dd15-40c5-b299-d1b90c7f597c,ATX,165.0,700.0,80+ BRONZE,,ATX,1,1,1
864f6671-7386-4ac6-8b0e-c4bbc2be6b0d,76b32004-e61d-4fc3-a648-0719d1f5fdc5,SFX,125.0,850.0,80+ PLATINUM,,ATX,0,1,0
337737d6-580b-4ce4-93b5-37b249b58544,f71318da-b9dd-4800-954c-076c56958762,SFX,100.0,450.0,80+ BRONZE,200.0,ATX,0,1,0
cb43052c-5652-4c57-b8ab-4ab379f052f3,d8386c8a-21c4-4479-9020-4bab37846013,ATX,150.0,750.0,80+ GOLD,,SFX | SFX-L,0,1,0
3f11bebf-e431-45fa-96bf-49f8f6fe5eaf,e519477a-b9ff-42f0-833a-21db0890e33a,ATX,140.0,650.0,80+ BRONZE,220.0,ATX,1,1,1
5baeada4-1775-4169-b0e8-b811b57fb82d,38e47072-dd15-40c5-b299-d1b90c7f597c,ATX,160.0,750.0,80+ BRONZE,,ATX,1,1,1
cee5ccb7-fc3e-4dbf-8de8-0d5f58de9e7b,08f83f40-7f0f-4c64-a208-c7f516f1efcf,ATX,140.0,600.0,80+ BRONZE,210.0,ATX,1,1,1
86eaedf0-e099-466c-86c8-4d40811c4876,75b8fa59-986c-4cbc-9dcc-c6574428233c,SFX,100.0,650.0,80+ GOLD,220.0,ATX,0,1,0
e9c6dfb5-7cc5-4174-a5cf-c86f745bece5,1020d83d-76c2-41f4-bee0-272716223e83,ATX,140.0,1050.0,80+ PLATINUM,,ATX,1,1,1
9b95a2f3-e588-4e5a-bbb9-bde7de957adc,b1e0b4f0-0522-443b-94a2-309f67623bb7,ATX,150.0,650.0,80+ GOLD,200.0,ATX,1,1,1
5406152a-eae9-42af-8108-2e18cba8e56e,71d9e671-5494-4ede-b0e0-5625804f70a0,ATX,140.0,500.0,80+,150.0,ATX,1,1,1
638889aa-9711-4c48-9060-d07782e0f20e,3dabc329-0636-405b-875b-142f36f7a81b,ATX,224.0,1200.0,80+ TITANIUM,180.0,ATX,1,0,0
eba33bcb-ed5c-4d79-9275-28f545955501,2cdb73d3-dc39-4494-a96e-bf7e20cfbcf8,ATX,140.0,550.0,80+ GOLD,200.0,ATX,1,1,1
18f5cfbd-d4e6-4ef3-b23c-56203d78540a,08f83f40-7f0f-4c64-a208-c7f516f1efcf,ATX,180.0,1050.0,80+ GOLD,210.0,ATX,1,1,1
09c92231-5a4f-4a2c-897c-8d5e7ea1db80,f9918e12-bbd5-4d30-97c7-2a3275954714,ATX,218.0,1350.0,80+,180.0,ATX,1,0,0
72496fd9-978c-4687-9bd2-07e63b189520,b1e0b4f0-0522-443b-94a2-309f67623bb7,SFX,100.0,550.0,80+ GOLD,200.0,ATX,0,1,0
8279df8d-eb19-4cce-8dba-3b5a603235ea,0a4e3be9-0866-411f-a1be-dcb4055b767e,SFX,130.0,600.0,80+ BRONZE,,ATX,0,1,0
