storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,label
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2bb3d0c7b56c56044f""}]",Mini ITX,DDR4,1
SSD,128.0,m.2-2280,m.2 sata,false,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab704fd4af70a349b72a""}]",Mini ITX,DDR4,1
SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280|2580|22110|25110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,0
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abd41698c62132089260""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abd41698c62132089261""}]",ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3aba94fd4af70a349c86b""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aba94fd4af70a349c86c""}]",Micro ATX,DDR4,1
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab8f843b62bf624cbfd1""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab8f843b62bf624cbfd2""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR4,0
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac5cce32fbd088837004""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac5cce32fbd088837005""}]",ATX,DDR4,0
SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac1efe073ff824ef9617""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3aba37d50ea703048f28a""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3aba37d50ea703048f28b""}]",Micro ATX,DDR3,0
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac5f81594acde48fed7c""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",Micro ATX,DDR5,0
SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3ac32ce32fbd088835645""}]",ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac1efe073ff824ef9617""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280|22110,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3aba881594acde48fa2f6""}]",Micro ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab59fe073ff824ef4c89""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 8, ""_id"": ""69b3ab59fe073ff824ef4c8a""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab59fe073ff824ef4c8b""}]",EATX,DDR5,1
SSD,8000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abcfce32fbd088832623""}]",Mini ITX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab6a3f8fd0c825dde3bc""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab6a3f8fd0c825dde3bd""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab6a3f8fd0c825dde3be""}]",Micro ATX,DDR4,0
SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3acb6b3d0c7b56c5643f6""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3acb6b3d0c7b56c5643f7""}]",Micro ATX,DDR4,1
SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abce1698c62132088f38""}]",Mini ITX,DDR3,0
