storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,label
SSD,960.0,pcie,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abbf744e69396d55e2d1""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abbf744e69396d55e2d2""}]",Micro ATX,DDR4,1
SSD,256.0,pcie,m.2 pcie x1,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab81fe073ff824ef58fe""}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 8, ""_id"": ""69b3ab81fe073ff824ef58ff""}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab81fe073ff824ef5900""}]",ATX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abcace32fbd0888321b4""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3abcace32fbd0888321b5""}]",EATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac6db27c54a042d0376e""}]",Mini ITX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2d7d50ea7030493606""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac2d7d50ea7030493607""}]",Micro ATX,DDR4,0
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}]",Mini ITX,DDR5,1
SSD,150.0,m.2-2280,m.2 sata,false,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab76cf841c9bc5aa1285""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab80b3d0c7b56c55bd27""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab80b3d0c7b56c55bd28""}]",Micro ATX,DDR2,0
SSD,8000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab9acf841c9bc5aa21b3""}]",Mini ITX,DDR4,1
SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac7dfe073ff824efc5b4""}]",Micro ATX,DDR5,1
SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac0ec0db8dfe4bc75129""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac0ec0db8dfe4bc7512a""}]",ATX,DDR4,0
SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac503722c3e205bd49e6""}]",Mini ITX,DDR4,1
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2b3f8fd0c825de369e""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac2b3f8fd0c825de369f""}]",Micro ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",ATX,DDR5,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abdb843b62bf624cd9e4""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3abdb843b62bf624cd9e5""}]",ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abdacf841c9bc5aa3e07""}, {""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3abdacf841c9bc5aa3e08""}]",ATX,DDR4,0
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3acbdfe073ff824efe48f""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3acbdfe073ff824efe490""}]",ATX,DDR4,0
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abbe843b62bf624ccf1b""}]",Mini ITX,DDR5,1
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac84b3d0c7b56c562e3e""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac69ce32fbd0888374af""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac69ce32fbd0888374b0""}]",Micro ATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abfc81594acde48fc573""}]",Mini ITX,DDR4,1
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3acc04fd4af70a34a38ad""}]",Micro ATX,DDR2,0
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac02fe073ff824ef88c8""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac02fe073ff824ef88c9""}]",Micro ATX,DDR5,1
SSD,256.0,m.2-2242,m.2 sata,false,22110,"[{""gen"": ""3.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac24c0db8dfe4bc75650""}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac24c0db8dfe4bc75651""}]",ATX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280|22110,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3abf1b27c54a042d0007c""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abf1b27c54a042d0007d""}]",ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abd1c0db8dfe4bc72e10""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abd1c0db8dfe4bc72e11""}]",Micro ATX,DDR4,0
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab8cb27c54a042cfd2a9""}, {""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3ab8cb27c54a042cfd2aa""}]",ATX,DDR4,0
SSD,960.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR4,1
SSD,8000.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ab9e3722c3e205bd03d1""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab9e3722c3e205bd03d2""}]",ATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac7cfe073ff824efc574""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ac7cfe073ff824efc575""}]",ATX,DDR3,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abad7d50ea703048f617""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abad7d50ea703048f618""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 4}]",ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac461698c6213208c746""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac461698c6213208c747""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac0ece32fbd0888341ef""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ac0ece32fbd0888341f0""}]",ATX,DDR4,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac3836a2b96d5d83f5e7""}]",Mini ITX,DDR5,1
SSD,512.0,m.2-2280,m.2 sata,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab93b27c54a042cfd729""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab93b27c54a042cfd72a""}]",Micro ATX,DDR4,0
SSD,240.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac3e36a2b96d5d83f7ee""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac3e36a2b96d5d83f7ef""}]",ATX,DDR4,0
SSD,240.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac4e7d50ea70304945cc""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab7081594acde48f8eb8""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab7081594acde48f8eb9""}]",Micro ATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280|22110,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac9075ef0cf5df01a6ad""}]",ATX,DDR5,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abbd3722c3e205bd0c6e""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abbd3722c3e205bd0c6f""}]",Micro ATX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3aca381594acde49016de""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aca381594acde49016df""}]",ATX,DDR4,0
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 7, ""lanes"": 16, ""_id"": ""69b3ac123722c3e205bd29ce""}]",SSI EEB,DDR4,0
SSD,512.0,m.2-2242,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac643f8fd0c825de4f08""}]",Mini ITX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abb7744e69396d55dfe7""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abb7744e69396d55dfe8""}]",Micro ATX,DDR4,0
SSD,512.0,m.2-2242,m.2 pcie 3.0 x4,true,2280|22110,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16}]",ATX,DDR5,0
SSD,256.0,m.2-2242,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abfeb27c54a042d00574""}]",Mini ITX,DDR4,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abc73f8fd0c825de04fa""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abc73f8fd0c825de04fb""}]",ATX,DDR3,0
SSD,4000.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abc51698c62132088ccc""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abc51698c62132088ccd""}]",ATX,DDR4,0
SSD,2000.0,m.2-2230,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac7cfe073ff824efc583""}, {""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3ac7cfe073ff824efc584""}]",ATX,DDR4,0
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abf8fe073ff824ef85ba""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abf8fe073ff824ef85bb""}]",Micro ATX,DDR2,0
SSD,240.0,m.2-2280,m.2 sata,false,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab8dce32fbd08883096f""}]",Mini ITX,DDR5,1
SSD,8000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac44c0db8dfe4bc768b8""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ac44c0db8dfe4bc768b9""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69d82d5ddedae263c818aa9d""}]",Micro ATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",ATX,DDR5,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16}]",ATX,DDR5,0
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",Micro ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac0a75ef0cf5df0164d0""}]",Mini ITX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac4e7d50ea70304945cc""}]",Mini ITX,DDR4,1
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abfc81594acde48fc573""}]",Mini ITX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abe4ce32fbd0888331ba""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abe4ce32fbd0888331bb""}]",Micro ATX,DDR4,1
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac55843b62bf624d0b1c""}]",Mini ITX,DDR3,0
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac1fb3d0c7b56c55fd83""}]",Micro ATX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac9a36a2b96d5d842826""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ac9a36a2b96d5d842827""}]",ATX,DDR4,0
SSD,480.0,m.2-2280,m.2 pcie 3.0 x4,true,2280|2580|22110|25110,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac0f1698c6213208aa88""}]",ATX,DDR5,0
SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",Micro ATX,DDR5,1
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3aca23722c3e205bd6d30""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3aca23722c3e205bd6d31""}]",ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac9c75ef0cf5df01aad9""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abfdcf841c9bc5aa4f50""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abfdcf841c9bc5aa4f51""}]",Micro ATX,DDR5,1
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac93fe073ff824efcef3""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac93fe073ff824efcef4""}]",Micro ATX,DDR3,0
SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac0b4fd4af70a349eddf""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abf44fd4af70a349e448""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abf44fd4af70a349e449""}]",Micro ATX,DDR4,1
SSD,2000.0,m.2-2242,m.2 pcie 3.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3abd4b27c54a042cff558""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abd4b27c54a042cff559""}]",ATX,DDR5,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abaf75ef0cf5df014239""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abaf75ef0cf5df01423a""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac1181594acde48fcc2c""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 8, ""_id"": ""69b3ac1181594acde48fcc2d""}]",EATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2975ef0cf5df0170e5""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac2975ef0cf5df0170e6""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac21b27c54a042d01506""}]",Micro ATX,DDR5,1
SSD,250.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}]",Mini ITX,DDR5,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3acb1b3d0c7b56c564181""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3acb1b3d0c7b56c564182""}]",Micro ATX,DDR4,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abd881594acde48fb40f""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3abd881594acde48fb410""}]",ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac1175ef0cf5df01664b""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac1175ef0cf5df01664c""}]",ATX,DDR4,0
SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abc83f8fd0c825de0510""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abc83f8fd0c825de0511""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 sata,false,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab5f81594acde48f889b""}]",Mini ITX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab64b3d0c7b56c55b2f3""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab64b3d0c7b56c55b2f4""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 2}]",ATX,DDR5,1
SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac0dc0db8dfe4bc750ff""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac0dc0db8dfe4bc75100""}]",Micro ATX,DDR3,0
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abfece32fbd088833c6f""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abfece32fbd088833c70""}]",ATX,DDR3,0
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac56b27c54a042d02db6""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac56b27c54a042d02db7""}]",Micro ATX,DDR5,1
SSD,400.0,pcie,m.2 pcie 3.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3aca1744e69396d5631c5""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aca1744e69396d5631c6""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 2, ""lanes"": 16}]",EATX,DDR5,1
