cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,label
66.0,185.0,,,360.0,ATX Mid Tower,119.0,1
150.0,145.0,,,,ATX Mid Tower,-5.0,0
48.0,165.0,,,240.0,ATX Mid Tower,117.0,1
134.0,170.0,,,,ATX Mid Tower,36.0,1
166.0,161.0,,,,ATX Mid Tower,-5.0,0
152.0,70.0,120.0,1,,HTPC,-82.0,0
157.0,175.0,,,,Micro ATX Mid Tower,18.0,1
157.0,178.0,,,,ATX Mid Tower,21.0,1
158.0,155.0,,,,ATX Mid Tower,-3.0,0
159.0,82.0,,,,Mini ITX Tower,-77.0,0
72.0,165.0,120.0,2,240.0,ATX Mid Tower,93.0,1
160.0,140.0,,,,Micro ATX Mini Tower,-20.0,0
158.0,170.0,,,,ATX Mid Tower,12.0,1
86.4,82.0,120.0,3,360.0,Micro ATX Mid Tower,-4.4,0
130.0,70.0,,,,Mini ITX Tower,-60.0,0
160.0,120.0,,,,Mini ITX Tower,-40.0,0
66.0,170.0,,,,Micro ATX Mid Tower,104.0,1
155.0,77.0,,,,Mini ITX Tower,-78.0,0
52.0,170.0,120.0,3,360.0,ATX Mid Tower,118.0,1
155.0,158.0,,,,ATX Mid Tower,3.0,1
154.0,167.0,,,,Micro ATX Mini Tower,13.0,1
164.0,163.0,,,,ATX Mid Tower,-1.0,0
127.0,175.0,,,,ATX Full Tower,48.0,1
172.0,155.0,,,,Micro ATX Mini Tower,-17.0,0
149.0,148.0,,,,ATX Mid Tower,-1.0,0
159.0,170.0,,,,ATX Mid Tower,11.0,1
68.0,193.0,,,,ATX Full Tower,125.0,1
158.0,120.0,,,,Mini ITX Tower,-38.0,0
155.0,67.0,120.0,1,,Mini ITX Tower,-88.0,0
38.0,180.0,140.0,2,280.0,ATX Mid Tower,142.0,1
89.8,165.0,120.0,3,360.0,ATX Mid Tower,75.2,1
161.0,167.0,,,,Mini ITX Tower,6.0,1
165.0,160.0,,,,ATX Mid Tower,-5.0,0
160.0,156.0,,,,ATX Mid Tower,-4.0,0
130.0,190.0,,,,ATX Mid Tower,60.0,1
159.0,70.0,120.0,1,,HTPC,-89.0,0
158.0,70.0,140.0,2,,Mini ITX Tower,-88.0,0
155.0,165.0,,,,Micro ATX Mini Tower,10.0,1
154.0,170.0,,,,ATX Mid Tower,16.0,1
157.0,68.0,,,,Mini ITX Tower,-89.0,0
49.0,160.0,,,360.0,ATX Mid Tower,111.0,1
166.0,170.0,,,,Micro ATX Mid Tower,4.0,1
159.0,170.0,,,,ATX Mid Tower,11.0,1
155.0,172.0,120.0,2,,ATX Mid Tower,17.0,1
66.0,171.0,120.0,2,240.0,ATX Mid Tower,105.0,1
56.0,114.0,,,,Mini ITX Tower,58.0,1
88.0,77.0,,,,Mini ITX Tower,-11.0,0
171.0,67.0,,,,Mini ITX Tower,-104.0,0
110.0,65.0,,,,Mini ITX Tower,-45.0,0
47.0,168.0,,,,ATX Mid Tower,121.0,1
155.0,68.0,,,,Mini ITX Tower,-87.0,0
155.0,170.0,120.0,1,,ATX Mid Tower,15.0,1
125.0,165.0,,,,ATX Mid Tower,40.0,1
69.0,190.0,120.0,2,240.0,ATX Mid Tower,121.0,1
58.0,175.0,,,,ATX Mid Tower,117.0,1
154.0,148.0,,,,ATX Mid Tower,-6.0,0
116.0,161.0,140.0,2,280.0,ATX Mid Tower,45.0,1
54.0,160.0,,,360.0,ATX Mid Tower,106.0,1
155.0,163.5,,,,Micro ATX Mid Tower,8.5,1
90.0,170.0,,,120.0,ATX Mid Tower,80.0,1
186.0,170.0,120.0,3,360.0,ATX Mid Tower,-16.0,0
156.0,155.0,,,,Micro ATX Mid Tower,-1.0,0
75.0,155.0,,,,ATX Mid Tower,80.0,1
171.0,210.0,,,,Micro ATX Mini Tower,39.0,1
156.0,70.0,,,,HTPC,-86.0,0
38.0,160.0,,,240.0,ATX Mini Tower,122.0,1
155.0,120.0,,,,Mini ITX Tower,-35.0,0
67.0,38.0,,,,Mini ITX Tower,-29.0,0
68.0,146.0,,,240.0,ATX Mid Tower,78.0,1
157.0,47.0,,,,Micro ATX Desktop,-110.0,0
42.0,38.0,,,280.0,Mini ITX Tower,-4.0,0
154.0,85.0,,,,Mini ITX Tower,-69.0,0
165.0,70.0,,,,Mini ITX Tower,-95.0,0
166.0,165.0,,,,ATX Mid Tower,-1.0,0
160.0,162.0,,,,ATX Mid Tower,2.0,1
17.0,150.0,,,,ATX Mid Tower,133.0,1
27.0,138.0,120.0,3,360.0,HTPC,111.0,1
150.0,38.0,,,,Mini ITX Tower,-112.0,0
68.0,180.0,,,240.0,ATX Mid Tower,112.0,1
150.0,138.0,,,,HTPC,-12.0,0
159.0,181.0,,,,ATX Full Tower,22.0,1
164.0,170.0,,,,ATX Mid Tower,6.0,1
81.0,120.0,,,,Mini ITX Tower,39.0,1
165.0,185.0,,,,ATX Mid Tower,20.0,1
127.0,58.0,100.0,2,,HTPC,-69.0,0
160.0,61.0,,,,Mini ITX Tower,-99.0,0
160.0,178.0,,,,ATX Mid Tower,18.0,1
160.0,159.0,,,,Micro ATX Mini Tower,-1.0,0
60.0,157.0,,,240.0,Micro ATX Mini Tower,97.0,1
186.0,165.0,120.0,3,360.0,ATX Mid Tower,-21.0,0
123.0,190.0,,,,Mini ITX Tower,67.0,1
110.0,48.0,,,,Mini ITX Tower,-62.0,0
148.0,85.0,,,,Mini ITX Tower,-63.0,0
135.0,160.0,,,,ATX Mini Tower,25.0,1
150.0,68.0,,,,Mini ITX Tower,-82.0,0
165.0,180.0,120.0,2,,ATX Mid Tower,15.0,1
42.0,165.0,,,120.0,Micro ATX Mini Tower,123.0,1
164.0,163.5,,,,Micro ATX Mini Tower,-0.5,0
130.0,120.0,,,,Mini ITX Tower,-10.0,0
165.0,164.0,,,,Micro ATX Mini Tower,-1.0,0
155.0,165.0,120.0,,,Mini ITX Tower,10.0,1
49.0,180.0,,,240.0,ATX Mid Tower,131.0,1
159.0,135.0,,,,Micro ATX Mid Tower,-24.0,0
155.0,110.0,,,,Mini ITX Tower,-45.0,0
153.0,70.0,,,,Micro ATX Desktop,-83.0,0
158.0,173.0,,,,ATX Mid Tower,15.0,1
