psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,label
550.0,ATX,160.0,80+ GOLD,ATX,180.0,1
550.0,ATX,140.0,80+ BRONZE,SFX | SFX-L,,0
850.0,ATX,160.0,80+ PLATINUM,ATX,,1
1350.0,ATX,180.0,80+ PLATINUM,ATX,,1
1250.0,ATX,200.0,80+ PLATINUM,ATX,160.0,0
450.0,ATX,140.0,80+ GOLD,ATX,220.0,1
600.0,ATX,140.0,80+ BRONZE,ATX | SFX | SFX-L,220.0,1
750.0,ATX,140.0,80+ GOLD,ATX,200.0,1
420.0,TFX,171.0,,ATX,,0
275.0,TFX,146.0,,ATX,220.0,0
550.0,SFX,130.0,80+ GOLD,ATX,,0
750.0,SFX,100.0,80+ GOLD,ATX,200.0,0
900.0,ATX,165.0,80+,ATX,182.0,1
1000.0,SFX,100.0,80+ PLATINUM,ATX,200.0,0
600.0,ATX,140.0,80+,ATX,220.0,1
1100.0,SFX,100.0,80+ PLATINUM,ATX,180.0,0
1200.0,ATX,150.0,80+ PLATINUM,ATX | SFX | SFX-L,220.0,1
750.0,ATX,160.0,80+ GOLD,ATX,,1
850.0,SFX,100.0,80+ GOLD,ATX,,0
650.0,ATX,140.0,80+ BRONZE,ATX,220.0,1
750.0,ATX,140.0,80+ BRONZE,ATX,220.0,1
550.0,ATX,165.0,80+ SILVER,ATX,,1
400.0,Flex ATX,150.0,80+ GOLD,ATX,,0
700.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
500.0,ATX,,,ATX,200.0,1
1000.0,ATX,160.0,80+ PLATINUM,ATX,,1
350.0,ATX,140.0,,ATX,180.0,1
1000.0,ATX,140.0,80+ GOLD,ATX,250.0,1
850.0,ATX,140.0,80+ PLATINUM,ATX,223.0,1
500.0,ATX,140.0,80+,SFX | SFX-L,,0
450.0,SFX,125.0,80+ GOLD,ATX,220.0,0
1200.0,ATX,200.0,80+ PLATINUM,ATX,160.0,0
650.0,ATX,160.0,80+ BRONZE,ATX,150.0,0
1000.0,ATX,200.0,80+,ATX,160.0,0
1300.0,ATX,201.0,80+ PLATINUM,ATX,160.0,0
850.0,ATX,165.0,80+ BRONZE,ATX,180.0,1
600.0,SFX,100.0,80+ GOLD,ATX,200.0,0
850.0,ATX,180.0,80+ TITANIUM,ATX,180.0,1
1000.0,ATX,160.0,80+ GOLD,ATX,220.0,1
300.0,Flex ATX,150.0,80+ GOLD,ATX,,0
600.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0
1050.0,ATX,190.0,80+ GOLD,ATX,160.0,0
300.0,TFX,185.0,80+ BRONZE,Flex ATX,,0
2000.0,ATX,180.0,80+ PLATINUM,ATX,160.0,0
700.0,ATX,140.0,80+ BRONZE,ATX,200.0,1
1600.0,ATX,210.0,80+ TITANIUM,ATX,180.0,0
850.0,ATX,180.0,80+ GOLD,SFX | SFX-L,,0
650.0,ATX,170.0,80+ TITANIUM,ATX,220.0,1
1000.0,ATX,160.0,80+ GOLD,ATX,,1
600.0,ATX,150.0,80+ GOLD,ATX,220.0,1
650.0,ATX,170.0,80+ GOLD,ATX,180.0,1
1000.0,SFX,100.0,80+ PLATINUM,ATX,,0
750.0,ATX,140.0,80+ GOLD,ATX,,1
500.0,ATX,140.0,,ATX,,1
650.0,ATX,140.0,80+ GOLD,ATX,223.0,1
550.0,ATX,140.0,80+ SILVER,ATX,220.0,1
750.0,ATX,160.0,80+ BRONZE,ATX,200.0,1
850.0,ATX,160.0,80+ BRONZE,ATX,,1
760.0,ATX,160.0,80+ PLATINUM,ATX,250.0,1
850.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
1000.0,SFX,104.0,80+ PLATINUM,ATX,,0
850.0,ATX,175.0,80+ TITANIUM,ATX,150.0,0
600.0,ATX,140.0,80+,ATX,,1
750.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
300.0,TFX,146.0,,ATX,250.0,0
750.0,SFX,100.0,80+ GOLD,ATX,160.0,0
500.0,ATX,165.0,80+ BRONZE,ATX,265.0,1
650.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0
250.0,Mini-ITX,150.0,,ATX,,0
750.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
500.0,ATX,140.0,80+ GOLD,ATX,220.0,1
660.0,ATX,160.0,80+ GOLD,ATX,250.0,1
1000.0,ATX,190.0,80+ PLATINUM,ATX,160.0,0
350.0,TFX,175.0,80+ GOLD,ATX,223.0,0
650.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
1000.0,ATX,150.0,80+ GOLD,ATX,,1
1800.0,ATX,230.0,80+ GOLD,ATX,180.0,0
1200.0,ATX,160.0,80+ GOLD,ATX,180.0,1
1000.0,SFX,125.0,80+ PLATINUM,ATX,,0
450.0,SFX,100.0,80+ BRONZE,ATX,220.0,0
1000.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
650.0,ATX,165.0,80+ BRONZE,ATX,200.0,1
550.0,ATX,164.0,80+ PLATINUM,ATX,,1
1650.0,ATX,178.0,80+ GOLD,Flex ATX,,0
750.0,ATX,150.0,80+ GOLD,ATX,220.0,1
850.0,ATX,170.0,80+ BRONZE,ATX,220.0,1
650.0,ATX,140.0,80+ BRONZE,ATX,180.0,1
850.0,SFX,100.0,80+ GOLD,ATX,223.0,0
650.0,ATX,139.0,80+ GOLD,ATX,210.0,1
500.0,Flex ATX,150.0,80+ PLATINUM,ATX,,0
500.0,ATX,160.0,80+ GOLD,ATX,200.0,1
1000.0,ATX,160.0,80+ PLATINUM,ATX,,1
300.0,SFX,100.0,80+,ATX,250.0,0
650.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
850.0,SFX,100.0,80+ PLATINUM,ATX,,0
500.0,ATX,165.0,80+ BRONZE,ATX,,1
850.0,ATX,140.0,80+ GOLD,ATX,200.0,1
1000.0,SFX,130.0,80+ PLATINUM,ATX,,0
750.0,SFX,100.0,80+ GOLD,ATX,160.0,0
1100.0,SFX,100.0,80+ PLATINUM,ATX,200.0,0
650.0,ATX,165.0,80+ GOLD,ATX,200.0,1
750.0,ATX,140.0,80+ BRONZE,ATX,,1
450.0,SFX,100.0,80+ BRONZE,ATX,265.0,0
