opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
9c604663-15c0-4f39-875e-7c201cfcbfe9,NZXT S340 ATX Mid Tower White / Purple Acrylic Side Panel,NZXT,ATX Mid Tower,7,2,3,364.0,,,38.448,ATX | Micro ATX | Mini-ITX,,true
9c60f32d-0e65-41e3-8d1f-de733d1f8dc1,"Jonsbo C6 Handle Micro ATX Mini Tower White Mesh Side Panel, USB 3.2 Gen 1 Type-A Front Panel",Jonsbo,Micro ATX Mini Tower,4,0,1,200.0,,,15.862,Micro ATX | Mini-ITX,,true
9c64e816-bc6a-41c8-9835-cd1c857f8339,Cougar Uniface ATX Mid Tower White RGB Tempered Glass Side Panel,Cougar,ATX Mid Tower,7,2,2,400.0,,,53.86,ATX | Micro ATX | Mini-ITX,,true
9c84ecf5-a519-42d9-a8c9-4d9b7e194737,ADATA XPG INVADER ATX Mid Tower Black Tempered Glass Side Panel,ADATA,ATX Mid Tower,7,2,2,400.0,170.0,,,ATX | Micro ATX | Mini-ITX,,true
9c8c81ca-46c9-42c3-bf8a-21baf2025b34,"Thermaltake The Tower 600 ATX Mid Tower Green / Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Thermaltake,ATX Mid Tower,7,2,1,400.0,210.0,,66.158,ATX | Micro ATX | Mini-ITX,,true
9c8d624c-fc15-47e7-94f4-922ad5cbd6e0,"Apevia Predator ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",Apevia,ATX Mid Tower,7,2,3,350.0,,,35.658,ATX | Micro ATX | Mini-ITX,,true
9c96972c-c9c7-40fa-8630-ffa42a1cbc12,Cooler Master Silencio S400 Micro ATX Mini Tower Black Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A Front Panel,Cooler Master,Micro ATX Mini Tower,4,4,4,319.0,167.0,,,Micro ATX | Mini-ITX,,true
9cbe78f5-a30f-4d57-84b0-f505dd0fbcb2,ENDORFY Ventum 200 ARGB ATX Mid Tower Black Tempered Glass Side Panel,ENDORFY,ATX Mid Tower,7,2,1,315.0,161.0,,35.45,ATX | Micro ATX | Mini-ITX,,true
9cd89c19-5635-4cc5-87cb-d4cb2846136e,"GameMax Aero Micro ATX Mini Tower Black / White with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",GAMEMAX,Micro ATX Mini Tower,4,2,2,340.0,,,31.477,Micro ATX | Mini-ITX,,true
9cdeb77d-b4ff-4281-81ec-237c612a5171,"Aerocool P7-C1 ATX Mid Tower Black with Acrylic Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",AeroCool,ATX Mid Tower,7,2,2,400.0,,,60.233,ATX | Micro ATX | Mini-ITX,,true
9ce78918-0e74-401c-b6d1-18dde64203c6,Silverstone ML04 HTPC Black Mesh Side Panel USB 3.2 Gen 2 Type-C USB 3.2 Gen 1 Type-A,Silverstone,HTPC,4,1,2,,70.0,,15.98,Mini-ITX,,true
9ce85acf-029c-4e6e-9181-9ceb4f9ed6a5,MagniumGear NEO QUBE 2 ATX Mid Tower Black Tempered Glass,MagniumGear,ATX Mid Tower,8,5,2,410.0,,,55.89,ATX | Micro ATX | Mini-ITX,,true
9ce94598-ea6f-4e28-89dc-077ccfb3e9bf,CiT Raider AIR ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A USB 2.0 Type-A,CiT,ATX Mid Tower,7,3,2,355.0,,,35.28,ATX | Micro ATX | Mini-ITX,,true
9d01e899-37e1-4874-b6d2-e966821474a5,"Antec CX700 RGB ELITE ATX Mid Tower White with Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C, and USB 3.2 Gen 1 Type-A",Antec,ATX Mid Tower,7,2,2,410.0,,,44.498,ATX | Micro ATX | Mini-ITX,,true
9d053859-90fc-4f6c-bdc6-e61f2b233d8a,MagniumGear Neo Micro V2 Micro ATX Mid Tower Silver / Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A Front Panel,MagniumGear,Micro ATX Mid Tower,4,2,2,330.0,,,,Micro ATX | Mini-ITX,,true
