storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
b335fcc6-96ae-4271-89e3-6a78093c68f5,fd086d6a-07fc-4e3c-8440-5bccc29912bc,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,1,3,2,0,0,1,0,3,0,4.0,EATX,DDR4,1,1
a216d9e9-5fc7-4105-876a-3773012ced7a,22746036-375a-4034-b13a-3ae78c4b8915,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
3cb707e7-310a-4b85-8dce-1cab4eea40ba,2dfb9e19-6002-4e7b-b5ee-b962c6c2a7e1,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,,5,3,0,0,2,0,5,0,4.0,ATX,DDR3,0,0
074d6599-614e-4d23-85a3-411596a7996c,3922e25b-de5c-4910-b4a8-10e15c97fd84,SSD,128.0,m.2-2280,m.2 pcie 3.0 x4,true,,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
bb22078b-59e4-4d01-b2d3-feed050a1e78,bf14bbf9-3231-4076-b8e9-657dd82125b4,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
757282da-6141-4bfb-a61c-0e8618a42436,f6f61ce9-9080-4dad-b923-f32fe560a5c6,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
c937c5c4-7365-41ba-8082-b29b91cd155e,1f08e282-5f3d-4f73-a0c3-fefd8e774618,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR3,0,0
5dbb82af-b940-43e2-b061-f186cf312cd7,82b06143-f956-4328-87fb-58b61a72c4b3,SSD,2000.0,m.2-2280,m.2 sata,false,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,1,1
2a3a35a2-cab4-4ed6-a56f-3b1484c9b22d,44f903c3-ce2f-4824-ab98-233b98ce58d0,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR4,1,1
64f5b7cf-1735-46e6-9811-a77674d26ed6,5d2d78fe-ff68-4ce5-8591-d615ca02e6a5,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR3,0,0
99c5a8af-c57f-4d09-aa21-e8cd9418d759,86f2ef33-8e7d-43f8-9857-d460c126f998,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,5,3,0,0,2,0,5,0,4.0,ATX,DDR4,1,1
3cf94805-e38e-4adf-9c0c-1eed431579fa,dd4994ff-8860-4a5a-9f97-a33b56de408b,SSD,1000.0,m.2-2242,m.2 pcie 3.0 x4,true,,3,2,0,0,1,0,3,0,4.0,Micro ATX,DDR3,0,0
7d4dafca-4c6f-42b4-bc4e-12b11420b4ec,a28d1ebe-0750-4ef7-99dc-5bb3d08cdbfc,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR5,1,1
36731d3a-1733-4a86-a3d9-9b0bb864b880,9e50890f-991e-4e72-ae19-db5088319a10,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,1,1
959c0b50-7829-4dbb-a01c-a721c5997f67,b119f1ed-40c6-473f-94ff-e4e2f794b5f2,SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,,6,4,0,0,2,0,6,0,4.0,ATX,DDR3,0,0
5648f071-9ea7-472f-8f19-8620c4b0a08f,5f9dca47-19cc-4423-89d7-e3ac7c4f41d0,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR2,0,0
1ee72711-1c4e-4539-9507-0919b6d6de85,e93fe69f-03e2-4edc-b1b0-5e01d94fbe96,SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,1,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,1,1
ca269c80-cfd9-4b67-8cb7-11aa18fa641d,15167dfa-7750-4c78-b919-d2bd1c3d55b4,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR3,0,0
c6aed429-6f55-4086-8380-38e924b47c16,12edb19a-323b-410a-8fca-ec812fa90aaa,SSD,960.0,pcie,m.2 pcie 3.0 x4,true,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR5,1,1
a4d0670d-86d8-4370-a1e1-25565211d313,81fcc99d-5f16-4cc8-8bb7-91af5ea95d07,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,1,1,1,0,0,0,0,0,1,5.0,Micro ATX,DDR4,1,1
d49e553f-56bc-4e9b-8d7d-8b56c5a47249,4e58d37e-3547-4b3e-a557-3538c18fff8b,SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,1,6,3,0,0,3,0,6,0,4.0,ATX,DDR4,1,1
e2a99cff-ad3e-4136-815a-69bca4e05758,2c885a6c-b3ef-479c-85fb-faecb511669d,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,1,5,3,0,0,2,0,5,0,4.0,ATX,DDR4,1,1
af5df2e8-2369-4b84-9564-969081396c2a,36c47db5-facf-4e0e-9607-545c3062328d,SSD,8000.0,m.2-2280,m.2 pcie 4.0 x4,true,,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
