opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,series,socket,_source_file,cache_l1,cache_l2,cache_l3,clocks_efficiency_base,clocks_efficiency_boost,clocks_performance_base,clocks_performance_boost,coreFamily,cores_efficiency,cores_performance,cores_threads,cores_total,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,metadata_last_manually_spec_verified_at,metadata_part_numbers,microarchitecture,specifications_eccSupport,specifications_includesCooler,specifications_integratedGraphics_baseClock,specifications_integratedGraphics_boostClock,specifications_integratedGraphics_model,specifications_integratedGraphics_shaderCount,specifications_lithography,specifications_memory_channels,specifications_memory_maxSupport,specifications_memory_types,specifications_packaging,specifications_ppt,specifications_simultaneousMultithreading,specifications_tdp
ecae0aef-42a1-40e1-8740-e63f81d02042,Intel Core i5 8600,Intel,Core i5 8000,8600,2018,Core i5 8000,LGA 1151,ecae0aef-42a1-40e1-8740-e63f81d02042.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,9,0,0,3.1,4.3,Coffee Lake,0,0,6,6,B0793CD3V2,,https://www.intel.com/content/www/us/en/products/sku/129937/intel-core-i58600-processor-9m-cache-up-to-4-30-ghz/specifications.html,N82E16819117885,959373704,,BX80684I58600,Coffee Lake,False,True,350,1150,Intel UHD Graphics 630,192,14 nm,2,128,DDR4,Boxed,0,False,65
ecebadb2-f535-4dbf-a847-9d92971e2b00,Intel Core i5-12600,Intel,Core i5 12000,12600,2022,Core i5 12000,LGA 1700,ecebadb2-f535-4dbf-a847-9d92971e2b00.json,6 × 64 KB Instruction + 6 × 48 KB Data (672 KB total),7.5,18,0,0,3.3,4.8,Golden Cove,0,6,12,6,B09MSLG944,,https://www.intel.com/content/www/us/en/products/sku/96149/intel-core-i512600-processor-18m-cache-up-to-4-80-ghz/specifications.html,N82E16819118371,182825416,,BX8071512600,Alder Lake,True,True,300,1450,Intel UHD Graphics 770,256,Intel 7,2,128,DDR5 | DDR4,Boxed,117,True,65
ed3c1bda-9520-40b5-bb05-e7e44ae7bfc1,Intel Core i5 13600K,Intel,Core i5 13000,13600K,2022,Core i5 13000,LGA 1700,ed3c1bda-9520-40b5-bb05-e7e44ae7bfc1.json,"80KB per P-core, 96KB per E-core",20,24,2.6,3.9,3.5,5.1,Raptor Cove / Gracemont,8,6,20,14,B0BCDR9M33,6521196,https://www.intel.com/content/www/us/en/products/sku/230493/intel-core-i513600k-processor-24m-cache-up-to-5-10-ghz/specifications.html,,1768427646,,BX8071513600K | i5-13600K,Raptor Lake Refresh,True,False,300,1.5,Intel UHD Graphics 770,256,Intel 7,2,192,DDR5 | DDR4,Boxed,181,True,125
eda463d1-d4b6-4f1a-96dd-0416efe84381,AMD Ryzen 9 7900X,AMD,Ryzen 9 7000,7900X,2022,Ryzen 9 7000,AM5,eda463d1-d4b6-4f1a-96dd-0416efe84381.json,12 × 64 KB (32 KB Instruction + 32 KB Data),12,64,0,0,4.7,5.6,Raphael,0,0,24,12,B0BBJ59WJ4,6519473,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-9-7900x.html,N82E16819113769,1679137132,,100-100000589WOF | RYZEN 9 7900X | 100100000589WOF,Zen 4,True,False,400,2200,AMD Radeon Graphics,0,"TSMC 5nm FinFET, TSMC 6nm FinFET",2,128,DDR5,Boxed,230,True,170
ee10268f-5b1a-4d1b-b4de-0ff59423fea9,Intel Core i9 7940X,Intel,Core i9 7000,7940X,2017,Core i9 7000,LGA 2066,ee10268f-5b1a-4d1b-b4de-0ff59423fea9.json,14 × 32 KB Instruction + 14 × 32 KB Data (896 KB total),14,19.25,0,0,3.1,4.4,Skylake-X,0,0,28,14,B07NSYV5R7,,https://www.intel.com/content/www/us/en/products/sku/126695/intel-core-i97940x-xseries-processor-19-25m-cache-up-to-4-30-ghz/specifications.html,N82E16819117834,841944474,,BX80673I97960X,Skylake,False,False,0,0,,0,14 nm,4,128,DDR4,Boxed,0,True,165
ee2ac384-a2d9-4324-88af-d4765e604bcf,AMD Ryzen 9 9950X,AMD,AMD Ryzen 9 9000,9950X,2024,Ryzen 9 9000,AM5,ee2ac384-a2d9-4324-88af-d4765e604bcf.json,1280 KB,16,64,,,4.3,5.7,Granite Ridge,,,32,16,B0D6NNRBGP,6589134,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9950x.html,N82E16819113841,8876505058,,100-100001277WOF | AMD Ryzen™ 9 9950X,Zen 5,True,False,400,2200,AMD Radeon Graphics,128,"TSMC 4nm FinFET, TSMC 6nm FinFET",2,256,DDR5,Boxed,230,True,170
ee44b97d-f489-4f09-8d7b-2a3f8668a4c8,Intel Core i5 4440,Intel,Core i5 4000,4440,2013,Core i5 4000,LGA 1150,ee44b97d-f489-4f09-8d7b-2a3f8668a4c8.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,3.1,3.3,Haswell,0,0,4,4,B00EUUIWZ6,,https://www.intel.com/content/www/us/en/products/sku/75038/intel-core-i54440-processor-6m-cache-up-to-3-30-ghz/specifications.html,N82E16819116942,39105813,,BX80646I54440,Haswell,False,False,350,1100,Intel HD Graphics 4600,160,22 nm,2,32,DDR3,Boxed,0,False,84
ef051311-c91d-425d-a91c-585ea31b63fd,Intel Core i7 12700KF,Intel,Core i7 12000,12700KF,2021,Core i7 12000,LGA 1700,ef051311-c91d-425d-a91c-585ea31b63fd.json,80 KB per P-core; 96 KB per E-core cluster,12,25,2.7,3.8,3.6,5,Golden Cove / Gracemont,4,8,20,12,B09FXKHN7M,6483674,https://www.intel.com/content/www/us/en/products/sku/134595/intel-core-i712700kf-processor-25m-cache-up-to-5-00-ghz/specifications.html,N82E16819118345,664508244,,BX8071512700KF,Alder Lake,False,False,0,0,,0,Intel 7,2,128,DDR5 | DDR4,Boxed,190,True,125
ef55d969-f601-4c8c-8b9c-3ce22de029e0,AMD A10-7870K OEM/Tray,AMD,A-Series A10 7000,7870K,2015,A-Series A10 7000,FM2+,ef55d969-f601-4c8c-8b9c-3ce22de029e0.json,2 × 96 KB Instruction + 4 × 16 KB Data (256 KB total),4,0,0,0,3.9,4.1,Kaveri,0,0,4,4,B01CO2JDLI,,https://www.amd.com/en/support/downloads/drivers.html/processors/a-series/a10-series-apu-for-desktops/a10-7870k-with-radeon-r7-series.html,,178763920,,AD787KXDI44JC,Steamroller,False,False,866,0,AMD Radeon R7 Graphics,512,28 nm,2,64,DDR3,OEM/Tray,0,False,95
ef5ac632-1bbc-4b85-8291-ab61b16e0cae,AMD Ryzen 5 5600XT OEM/Tray,AMD,Ryzen 5 5000,5600XT,2024,Ryzen 5 5000,AM4,ef5ac632-1bbc-4b85-8291-ab61b16e0cae.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),3,32,0,0,3.7,4.7,Vermeer,0,0,12,6,,,https://www.amd.com/en/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5600xt.html,,,,100-000001585,Zen 3,True,False,0,0,,0,"TSMC 7nm FinFET, 12nm (Globalfoundries)",2,128,DDR4,OEM/Tray,88,True,65
