motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
7db85de3-3877-4f37-9fbb-e67f3588add0,9d52a126-757e-4d9c-8363-9a2708e38577,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Full Tower,0,0
756c4c2a-b461-40a2-9b34-e1fd6ed1481e,949562ae-9ebb-4177-b4e8-c7848e6dda0e,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,0,0
2a5f4f79-47b7-4613-af67-48f2f123e9c5,db06f330-f5e1-4e8b-b6e5-8430c47ab17f,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
160eec6c-3699-4649-912e-2f43286086b1,3745b922-356d-4601-bee6-9dc0ae2724c5,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
fa29d8f3-2809-4890-aec3-58d1ccf54b34,b2c2a10b-aac7-4a9f-b647-dd95c70913ee,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
2025020f-855f-4874-ad39-593adbeda11c,d8386c8a-21c4-4479-9020-4bab37846013,ATX,ATX | Micro ATX | EATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
aa8eae87-5df7-4bc0-92ab-63f090dfcea1,7387182b-b162-4343-8e42-2c86260b5dc8,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
4b754802-b526-4c28-a581-d61f1d22688e,68d4a9df-27f1-48bf-9e53-c4a5baf7bae3,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
6873ea58-8a29-4607-9e5d-ae54957fde8e,920ed2c6-98c1-417e-94d5-5f169924d6fb,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Desktop,1,1
40273f70-7efe-4b78-b561-1517dd474061,7794911d-074d-40a2-91fc-aebab4aadd29,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
ce15538c-8d55-4fbf-b690-636a359f0de6,c3ddf23f-24bf-45d6-ae1b-bfa993c8720c,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
63798832-19d3-43e3-9c10-61806081b716,7f52bba4-3bf0-43b9-9d38-09bb73d6f044,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
509490cb-d17b-4fac-a8e0-40f9ec135833,83a67d70-a47f-4fa8-ad12-18b1f903c816,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,0,0
abe4bb69-767b-48bd-bc28-505bf2e71cf4,ef0a789d-db34-4538-b600-1d54f165d3ad,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
c49a735c-a954-4688-8027-baae29c96572,257e1889-5f28-4bdc-9829-60856785a701,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
a44dece8-bd54-4f5d-a185-a6fa74c2a79d,0b4ae86b-a7be-4357-b45a-1176cd767dd2,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,0,0
cc4d8c51-7ff8-4534-8064-cc945c37b315,7b4883af-7e1e-4482-9d70-0ee8c65847ab,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR3,4,ATX Mid Tower,1,1
1131b4cd-a87f-4223-b120-c21134b69d9a,4502b3a5-a98f-4204-b83e-18c9e286c7e7,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
ca0b0597-3d12-4767-abcf-f2d95c97cb0f,5b4c6529-cc9b-4205-87f8-d4a5b51337c8,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
5c6de155-13e5-4592-9047-9e79141bb5e9,28135cb3-2940-45cd-8721-da5251205034,ATX,Mini-ITX,DDR4,4,HTPC,0,0
b7fbe6c2-87c7-4357-aaac-b5db21b07663,16a282d2-ec42-4d8d-b6e4-f11dad0c693d,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
ecc3f082-dc18-49c0-9d2c-5101c134d419,56891729-857b-4606-a555-923b4ed32ec3,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
18d985d8-31c3-40ea-a039-6f81639cf658,5537036a-e791-4d06-b971-4ea8f0fea523,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
ef727936-0187-426d-9ac6-f5dcd08db1a0,feb4b3f8-a871-4749-82e2-2dfa0a83a562,Micro ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
a436b7cf-5dac-469e-80b5-ddf2f8e06f35,258814b9-8b93-43e6-929c-084532026b5d,EATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Full Tower,0,0
7a36f83c-dcb8-4188-a3ae-3f0094c5c24d,f58a046d-11b2-4f79-a212-bfa18bcaf7a7,ATX,EATX | ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
a84d2240-0502-4e3a-8d64-8d8fc1816229,b5cab143-6373-437c-ae87-1c364c717368,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
1e1b5cba-d256-4bbb-b600-2eb6e5a3d1fe,1c968861-ffd7-4a10-b006-49e87e06a9a1,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
70416efd-5c04-4c7c-9588-bc46b4fa22ae,3646cd0f-8fbb-4fca-b006-0d7800702a82,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
93d0c455-c6e0-4a14-8f3f-b0e07b100fc8,39678a5e-f465-415c-8f2c-251383b47e95,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,1,1
d2a331df-aded-4d7a-8c07-a9c2c3bc3439,3eeaa2f6-6a7b-4d03-a76b-0db731ae036b,Micro ATX,Mini-ITX,DDR3,2,Mini ITX Tower,0,0
