storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
d5c50d56-73b4-4f63-974e-f318fd85bb5d,626aa752-8a2b-4f35-b910-9c94c3d65cc1,SSD,256.0,"2.5""",sata 6.0 gb/s,false,1,4,1,0,0,3,0,3,1,5.0,Micro ATX,DDR5,1,1
d70c7b06-665c-4260-b45b-343dad1a01ec,5840cd61-ccb6-4680-b10d-c83b071e0af2,HDD,8000.0,"3.5""",sata 6.0 gb/s,false,1,2,2,0,0,0,1,0,1,5.0,ATX,DDR5,1,1
5c62d4a4-2764-4b2b-b97a-606a2135ef84,04273c2e-355d-44be-bff6-b2cfcaa0541a,HDD,1000.0,"3.5""",sata 3.0 gb/s,false,1,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,0,0
f244d77b-f418-4156-b492-6785c3ca0b2f,1ebc7a1b-4636-4085-9893-d34a37f7de8a,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR5,1,1
befce43c-57e1-4852-b06d-7eccb66b9996,8aa0bb12-3338-4d59-b84b-0d6da1f8c53d,HDD,1000.0,"3.5""",sata 6.0 gb/s,false,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR5,0,0
e71afeb2-3656-4873-83c6-1efb6cf18da8,fbdba9a0-a8a0-47b1-b7b6-e7124896ef6d,SSD,128.0,"2.5""",sata 6.0 gb/s,false,1,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR4,0,0
70fff4fb-3689-4695-9d19-6af46db76ffd,0ab2d56d-1b61-4699-bf7e-72466571edb1,HDD,750.0,"2.5""",sata 3.0 gb/s,false,1,4,1,0,1,2,4,0,0,3.0,ATX,DDR4,1,1
3d4825c9-2f66-47a4-9bda-b252d14cb76f,4ce77400-c210-476e-960e-a944ab12dc47,HDD,18000.0,"3.5""",sata 6.0 gb/s,false,1,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR5,1,1
0267d003-3d9a-4302-8651-77cfe032f473,4eef5d6d-fcda-4e98-b28f-6d9506df94ac,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,6,3,0,0,3,0,6,0,4.0,ATX,DDR4,1,1
537ea6bc-d8a7-4f44-88da-19e851684b66,a212b881-e929-45e1-83e8-66095b9ca0c3,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,3,3,0,0,0,0,3,0,4.0,EATX,DDR5,1,1
35a5c482-eb15-4d2a-87b6-458ef6cc8602,a4dbe010-002f-452a-9739-21b5c16e1335,SSD,60.0,"2.5""",sata 6.0 gb/s,false,1,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,0,0
3a08c88d-f5bd-4bc5-8b12-6700f2995242,f97da62d-ecda-4391-a529-25f7f72fbc3c,HDD,750.0,"2.5""",sata 3.0 gb/s,false,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR5,0,0
b92a66f5-2b07-44c1-94a6-0223e12c26a3,3d2b30f0-b347-4c82-87b4-263d1f8d8056,SSD,8000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,3,2,0,0,1,0,3,0,4.0,Micro ATX,DDR4,1,1
56ae705d-8a6c-4ff6-9601-a75928c0ddbf,44804d8e-f16a-4910-a87f-d7dfd01201af,SSD,512.0,"2.5""",sata 6.0 gb/s,false,1,3,2,0,0,1,0,3,0,4.0,Micro ATX,DDR5,1,1
1106af74-e143-4479-8f4a-acb7348593c0,753f6f1a-1d31-4835-ac9e-0eff7416dcc6,SSD,240.0,"2.5""",sata 6.0 gb/s,false,1,3,2,0,0,1,0,3,0,4.0,Micro ATX,DDR4,1,1
248add02-8d90-42c6-b40e-c712922803f3,cb2ba94c-90e3-4ff9-a4d0-1acd58f8cad1,HDD,10000.0,"3.5""",sata 6.0 gb/s,false,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
ac841878-9aee-44cf-b72c-6c52b2752e09,51ee2333-afe3-4454-ba60-54ff1042bb40,HDD,4000.0,"3.5""",sata 6.0 gb/s,false,1,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR5,1,1
6d474c53-90d4-4d3d-b19d-6339d8008938,34529c7b-df0d-4567-8b97-d75dc35eb3d8,HDD,2000.0,"3.5""",sata 6.0 gb/s,false,1,4,2,0,0,2,0,4,0,4.0,ATX,DDR5,1,1
db6a2bd4-1fd0-413a-88b3-d152f7c0705a,4d0e173d-27f3-4fed-8692-0205806d3f95,SSD,120.0,"2.5""",sata 6.0 gb/s,false,1,4,3,0,0,1,0,4,0,4.0,ATX,DDR5,0,0
f9f12000-df8f-4d28-8019-13754ba39b05,bfbd6ed8-a085-4a0b-bc3b-dfacfc2cc920,HDD,320.0,"3.5""",sata 3.0 gb/s,false,1,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR4,0,0
d13b8fb2-201c-4061-bf0a-2e4d65343352,5bfc33f5-3dfa-4881-b80a-681d9875b93e,HDD,1000.0,"2.5""",sas 6.0 gb/s,false,1,5,2,0,0,3,5,0,0,3.0,Micro ATX,DDR4,0,0
27382568-78af-446c-8c21-50fdd4a09899,9b2249cc-4119-420b-a794-f500d7e87655,SSD,256.0,"2.5""",sata 6.0 gb/s,false,1,3,2,0,1,0,0,3,0,4.0,EATX,DDR4,1,1
e794ebab-102a-41dc-a399-03ffc36d71b5,adfcecdf-9071-4bf8-bcc1-38707eb5c2e5,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,4,3,0,1,0,0,4,0,4.0,EATX,DDR4,1,1
dba5e70b-a7f5-4b68-9d7a-4bdf256de04b,31847abc-e3fb-4075-9cfd-7bf3ab85b973,HDD,1000.0,"3.5""",sata 6.0 gb/s,false,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR5,1,1
a2a9a418-4eef-4c64-aa48-238f686a61f3,8ae29834-939e-463c-96c7-2896f81702a8,HDD,2000.0,"3.5""",sas 6.0 gb/s,false,1,4,3,0,0,1,0,4,0,4.0,Micro ATX,DDR4,0,0
5ada0463-f150-4e57-9e56-c61a41fcfd85,12079bf0-cba5-4938-929d-1884e43a3a57,SSD,512.0,"2.5""",sata 6.0 gb/s,false,1,5,5,0,0,0,0,5,0,4.0,ATX,DDR4,0,0
fe74ec02-b98c-4346-927a-25a780b26682,08f812a3-fd3a-4ddd-881d-02505f6d06de,SSD,512.0,m.2-2280,m.2 pcie 4.0 x4,true,,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
