psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
f2205750-ea60-4ecb-bba9-bfd073f3d430,d332c44c-10ba-45cc-94cc-41067d7d869c,650.0,SFX,100.0,80+ GOLD,ATX,223.0,0,1,0
3d88de13-e0c4-4f73-a281-9e6dbc92f724,2cdb73d3-dc39-4494-a96e-bf7e20cfbcf8,550.0,SFX,100.0,80+ GOLD,ATX,200.0,0,1,0
7a3784e2-38a4-444e-ba08-41e226ff9397,d9f40ae5-b61c-40e4-8de2-e259d68bf4ff,400.0,Flex ATX,150.0,80+ GOLD,ATX,220.0,0,1,0
436e64fa-65b2-4d76-bef2-924fdf94e99c,42d47c5a-8e21-4da9-ba4e-ea55290ce616,600.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
5d25ced6-8386-42bc-9c22-c34434d9e813,dacc5b30-95b1-489e-a56e-441f1f727cd6,650.0,ATX,160.0,80+ GOLD,ATX,,1,-1,1
5d8ca44a-397c-4746-b363-ac9d04f230af,948b8007-fa96-47ee-aae1-b30ca6758058,750.0,ATX,160.0,80+ BRONZE,ATX,160.0,1,1,1
b6acc8ce-6c11-4000-a601-e33156e8ed7c,f9918e12-bbd5-4d30-97c7-2a3275954714,700.0,ATX,140.0,80+ GOLD,ATX,180.0,1,1,1
5c4551d2-0733-435b-b287-977f344f35e1,20cf5e59-e8e0-4997-b8f0-274871866f28,450.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
24ae0594-6b35-47c6-a783-33d1a9b47d9e,0d8ffba7-ba0a-4c2d-86e5-d6e2d0814766,450.0,ATX,140.0,80+,ATX,,1,-1,1
1a7b08dd-56c9-4613-a96c-35714a4e2d44,03ba5c32-d37c-424d-a122-10a66cec4179,450.0,ATX,140.0,80+ BRONZE,SFX | SFX-L,,0,-1,0
9052cf47-2d9b-4fee-9d06-b36fdfb1e032,51b2027c-caff-483f-9398-25f2b30cd0d9,850.0,ATX,160.0,80+ BRONZE,SFX | SFX-L,,0,-1,0
1c22e4f5-d651-4626-9d38-31e9b14e9936,456a564c-2998-4260-b779-ee852852a829,450.0,ATX,140.0,80+,SFX | SFX-L,,0,-1,0
6266f680-756e-4971-a398-11e6b9d2a645,b262881a-8595-43df-a786-337394aed5e3,850.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
614095f9-b380-485a-b557-63a903164ac7,456a564c-2998-4260-b779-ee852852a829,500.0,ATX,139.0,80+,SFX | SFX-L,,0,-1,0
05c1be62-78fc-4133-81aa-95fc251aa5d3,96c9c755-93db-49b5-8d4c-e3c5a9dcf77c,1600.0,ATX,240.0,80+ GOLD,ATX,200.0,1,0,0
a314f8e6-23ae-4608-be04-3fd8a525a738,ee103b4b-fd54-49e3-b989-df5d12e5dae9,1000.0,ATX,150.0,80+ GOLD,ATX,220.0,1,1,1
739c4053-0d24-4587-b439-82dc88eb1e01,11e609ff-a638-4e8b-856b-2eb116615667,750.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0,-1,0
b0717dde-ff04-4d09-946c-02ca5de937e1,f9f1cc90-f28a-4d3c-b98b-45b03037008e,550.0,SFX,100.0,80+ GOLD,ATX,220.0,0,1,0
c8f2deb5-eb43-4a6c-bc54-0b006560d99f,cee29e22-2c45-4d28-9768-10243278541c,220.0,Mini-ITX,150.0,,ATX,160.0,0,1,0
4269f640-57b6-4264-9c3c-e55758b10e2e,9633a11e-b237-4a7b-b500-937b20008dbe,1080.0,ATX,,,ATX,220.0,1,-1,1
