category,column,total,filled,empty,empty_percent,unique,top_values
PSU,modular,3295,3290,5,0.15,3,full (1584) | non-modular (1188) | semi-modular (518)
PSU,form_factor,3295,3290,5,0.15,7,ATX (3076) | SFX (159) | TFX (26) | Flex ATX (13) | Mini-ITX (12) | ATX/EPS (3) | SFX-L (1)
PSU,length,3295,3183,112,3.4,64,140 (1147) | 160 (618) | 180 (255) | 150 (241) | 165 (132) | 139 (129) | 100 (121) | 170 (115) | 200 (55) | 175 (54)
Cooler,cpu_sockets,2398,2394,4,0.17,228,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851 (437) | AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2066 (313) | AM2|AM3|AM4|AM5|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2066 (149) | AM2|AM3|AM4|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2066|LGA775 (97) | AM2|AM3|AM4|AM5|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2066 (81) | AM4|AM5|LGA1700|LGA1851 (65) | AM2|AM3|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2066|LGA775 (50) | LGA1150|LGA1151|LGA1155|LGA1156|LGA1200 (50) | AM2|AM3|AM4|AM5|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2066|TR4|TRX4 (45) | AM2|AM3|AM4|FM1|FM2|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2066 (44)
Cooler,height,2398,1621,777,32.4,156,155 (92) | 158 (86) | 154 (81) | 160 (70) | 157 (58) | 159 (54) | 60 (52) | 165 (32) | 65 (32) | 150 (32)
Cooler,fan_quantity,2398,322,2076,86.57,4,2 (136) | 3 (126) | 1 (57) | 0 (3)
Cooler,fan_size,2398,351,2047,85.36,14,120 (279) | 140 (38) | 92 (6) | 100 (5) | 95 (4) | 135 (3) | 240 (3) | 90 (3) | 360 (3) | 280 (2)
Cooler,radiator_size,2398,1283,1115,46.5,8,360 (514) | 240 (454) | 120 (123) | 280 (112) | 420 (48) | 0 (22) | 140 (9) | 394 (1)
Cooler,water_cooled,2398,2388,10,0.42,2,true (1265) | false (1123)
Case,form_factor,3749,3747,2,0.05,14,ATX Mid Tower (2314) | Micro ATX Mini Tower (388) | Mini ITX Tower (336) | ATX Full Tower (311) | Micro ATX Mid Tower (208) | HTPC (45) | Micro ATX Desktop (44) | EATX Mid Tower (30) | ATX Mini Tower (19) | EATX Full Tower (17)
