dataset,records,training_records,testing_records,features,accuracy,precision,recall,f1_score
cpu_motherboard,20000,16000,4000,7,0.95875,0.94388,0.9755,0.95943
cpu_cooler,20000,16000,4000,5,0.6955,0.675968,0.751,0.711511
ram_motherboard,20000,16000,4000,6,0.96925,0.968547,0.97,0.969273
gpu_case,20000,16000,4000,5,0.77975,0.80624,0.7365,0.769794
cooler_case,20000,16000,4000,4,0.78225,0.759302,0.8265,0.791477
motherboard_case,20000,16000,4000,2,0.8045,0.775068,0.858,0.814428
psu_case,20000,16000,4000,4,0.813,0.789547,0.8535,0.820279
