storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
1717a51f-0c67-4aac-8f35-46de4bbe0b7f,000deb7d-a2c6-4134-9d33-ffc0508cb277,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,1,1
60c28f45-a522-49de-80e8-5c4f98e68d6b,e4435963-5c2b-4fc3-9a8e-75e4bb738858,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,3,3,0,0,0,0,3,0,4.0,Micro ATX,DDR4,1,1
6bde30e9-20ff-4984-9a0a-fc69c0a0cbb9,6470e95e-8b7b-4c4b-809f-f16449867031,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,6,3,0,0,3,0,6,0,4.0,ATX,DDR3,0,0
52f961d5-60af-434c-ac8e-741a4333e4ce,59693412-3b21-4f58-879a-26bc60053e91,SSD,4000.0,m.2-2280,m.2 pcie 3.0 x4,true,3,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR4,1,1
96a56703-3f5b-4115-b3f9-b72525fb9c9a,329e74b8-d3d0-456d-895e-0a4bf2b35fea,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,4,3,1,0,1,0,2,0,1,5.0,ATX,DDR5,1,1
5663ec11-abf0-4a0f-88a7-6fa73c1f234d,dbf04c15-a2f7-447c-86d7-69c3f5d77aa0,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2,5,2,0,0,3,0,5,0,4.0,ATX,DDR4,1,1
226765b3-7dd9-41c8-94fd-46c5d4a7fa57,087cab4b-4de4-4844-9d73-60b62fceaae4,SSD,960.0,m.2-2280,m.2 pcie 3.0 x4,true,3,4,2,0,0,2,0,4,0,4.0,Micro ATX,DDR4,1,1
b01413ca-140f-458e-b274-c4bc6eb6158f,1eb62c18-a48f-463a-b490-01f8198d70e5,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,5,5,4,0,1,0,5,0,0,3.0,EATX,DDR4,1,1
6ea1bbc5-e767-4954-911a-b013fceff8cf,872d441f-a109-4217-9e58-ece9ffc5d4fa,SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,3,3,1,0,1,1,0,3,0,4.0,Micro ATX,DDR4,1,1
5bcf9f4d-1a2d-4691-8000-e977a8fda23e,3fd7dc09-83fd-448d-94a7-5cf35a17517b,SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,0,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
74f0e191-0058-489b-83f7-8f74d622bacb,aee80b7f-835a-402d-a3e3-984273e783ba,SSD,1000.0,m.2-2242,m.2 pcie 3.0 x4,true,4,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,1,1
614d19f2-2e33-4da4-a1ed-ede5f8a85445,da207009-b40c-4858-a32c-153a2a6ba16b,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,4,2,0,0,2,0,4,0,4.0,ATX,DDR4,1,1
22d5f0ba-c364-4184-9182-5f941b2d5489,1c2d661c-9e9b-4d72-b664-98ab63dbb478,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
2df11138-e7ac-455f-ba4f-1955972ff0c3,89fe959b-dcb7-4660-98fb-6551e3f1a4ff,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR5,1,1
076d3ecd-e8e3-45c0-9166-bd1749dedce5,e93007a9-8364-4b25-95d1-7846e923580b,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR5,1,1
50725ee6-b515-4300-a58e-3acd7ec241fb,91b8a48d-2e7e-4db8-b11f-77b7d1a71d74,SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,0,6,6,0,0,0,0,6,0,4.0,SSI CEB,DDR3,0,0
4b745082-6444-4db6-90ca-5552841ef191,7a6d904c-2404-4f1a-af11-9cfe5aceba75,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
b335fcc6-96ae-4271-89e3-6a78093c68f5,9175d80a-2c0b-4fa9-838a-18bda71f85a1,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
e753fa03-df61-4924-97f8-16f91c2cd0b8,5cc281a8-dd9a-4c94-9bcb-d541a2eac8c3,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,1,1,1,0,0,0,1,0,0,3.0,Mini ITX,DDR4,1,1
00390459-a2a2-4b30-955a-8912dc35076c,0d1590d1-2ebc-445c-aa24-5c9b7a1a2659,SSD,250.0,m.2-2280,m.2 sata,false,2,3,1,0,1,0,0,2,1,5.0,ATX,DDR5,1,1
2570b5c6-c136-4646-92e8-1333ab6fa2ab,efb53df1-a260-4df6-9f12-af4ef8a1a73d,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,0,5,4,0,1,0,0,5,0,4.0,ATX,DDR3,0,0
52e9b7f2-2da3-4589-ad86-593046cf0a18,524c1cfc-9ff7-4a86-a113-6d7b52295278,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,0,5,3,0,0,2,0,5,0,4.0,ATX,DDR3,0,0
