opendb_id,name,manufacturer,chipset,chipset_manufacturer,memory_gb,memory_type,core_count,base_clock,boost_clock,tdp,length_mm,slot_width,expansion_slots_required,interface,power_12vhpwr,power_12v_2x6,power_6_pin,power_8_pin,radiator_size_mm,clock_gain,compute_score,performance_per_watt
435657bc-e693-4ed6-a353-cad3a7487769,Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX 8G,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2280.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,,,,1,,292.0,11851776.0,65843.2
7d80cd7e-4559-4c80-8526-145fde1194b9,GIGABYTE GeForce RTX 5060 Ti WINDFORCE 8G GDDR7,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,165.0,11851776.0,65843.2
8dfe4c87-aed4-403e-8fb7-cb8bae9f5a67,GIGABYTE GeForce RTX 5060 Ti WINDFORCE OC 8G GDDR7,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2587.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,180.0,11920896.0,66227.2
a837f3b1-54b1-41ee-af0d-61318f7a5a47,GIGABYTE GeForce RTX 5060 Ti WINDFORCE 16G GDDR7,Gigabyte,GeForce RTX 5060 Ti 16 GB,NVIDIA,16.0,GDDR7,4608,2407.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,165.0,11851776.0,65843.2
6b6892c3-21aa-45b9-8ca5-cb2ac0ed62bc,Gigabyte WINDFORCE OC GeForce RTX 5060 Ti 16GB GDDR7,Gigabyte,GeForce RTX 5060 Ti 16 GB,NVIDIA,16.0,GDDR7,4608,2407.0,2587.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,180.0,11920896.0,66227.2
d8048693-437a-421c-a1cb-3e0576e1f750,GIGABYTE GeForce RTX 5060 WINDFORCE MAX 8G GDDR7,Gigabyte,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2497.0,145.0,199.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,217.0,9588480.0,66127.4483
5fc9f366-b8e5-4646-98c5-fa17f2e891b7,GIGABYTE GeForce RTX 5060 WINDFORCE 8G GDDR7,Gigabyte,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2497.0,145.0,199.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,217.0,9588480.0,66127.4483
3ed49cbc-023e-41f4-bdde-854df4d674c2,Gigabyte WINDFORCE OC GeForce RTX 5060 8GB GDDR7,Gigabyte,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2512.0,145.0,199.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,232.0,9646080.0,66524.6897
348a21fe-e370-4235-b232-0ce4ec566dab,NVIDIA RTX PRO 6000 Blackwell Workstation Edition 96GB GDDR7,NVIDIA,RTX PRO 6000 Blackwell,NVIDIA,96.0,GDDR7,24064,1590.0,2617.0,600.0,304.0,2.0,2.0,PCIe 5.0 x16,0,1,0,0,,1027.0,62975488.0,104959.1467
cd973deb-0d12-4cf1-9cc6-23c4c012d6c6,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC Edition,ASUS,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2602.0,180.0,229.0,2.5,2.0,PCIe 5.0 x8,0,0,0,1,,195.0,11990016.0,66611.2
